Year,Tm,WAR,Salary,Position
2000,NYY,0.1,"$750,000",P
2000,MIL,-0.8,"$5,000,000",CF
2000,BAL,0.0,"$1,750,000",P
2000,HOU,0.0,,P
2000,LAD,1.7,"$3,000,000",2B
2000,MIN,0.0,"$875,000",P
2000,MON,6.0,"$3,500,000",RF
2000,MON,-0.8,"$825,000",LF
2000,SEA,0.7,"$205,000",3B
2000,TBD,0.8,"$375,000",RF
2000,TBD,1.0,,SS
2000,Tm,WAR,Salary,
2000,TOR,,,P
2000,3TM,-0.1,"$1,600,000",P
2000,CHC,1.6,"$2,500,000",SS
2000,MIN,1.2,"$230,000",SS
2000,SDP,,,P
2000,ARI,-0.4,,P
2000,TBD,,"$6,000,000",P
2000,SDP,0.4,"$6,300,000",RF
2000,STL,0.0,,P
2000,BAL,1.4,"$205,000",2B
2000,SEA,0.1,"$290,000",P
2000,TBD,0.0,,C
2000,TOR,,"$383,333",P
2000,DET,0.8,"$236,000",3B
2000,NYM,0.0,"$3,633,333",LF
2000,TOR,,"$5,500,000",P
2000,COL,2.3,"$3,183,333",RF
2000,NYM,0.6,"$5,750,000",P
2000,CLE,,,P
2000,LAD,1.3,"$475,000",1B
2000,CIN,0.1,"$3,250,000",P
2000,TBD,,,P
2000,2TM,-0.1,"$1,100,000",3B
2000,ANA,0.0,"$900,000",P
2000,TEX,1.3,"$1,100,000",C
2000,Tm,WAR,Salary,
2000,BOS,0.1,"$695,000",C
2000,MIN,0.0,"$1,115,000",P
2000,MIL,0.4,"$300,000",3B
2000,MIL,-0.2,"$900,000",P
2000,TEX,-0.1,"$3,750,000",P
2000,ATL,-0.1,,3B
2000,COL,8.9,"$1,300,000",1B
2000,2TM,0.7,"$2,460,000",LF
2000,2TM,0.0,"$800,000",P
2000,STL,0.0,"$6,000,000",P
2000,CHC,0.0,"$625,000",P
2000,OAK,0.1,"$2,100,000",P
2000,LAD,-0.1,"$205,000",P
2000,PIT,-1.6,"$205,000",CF
2000,MON,-0.1,"$3,633,333",P
2000,PIT,-0.7,,1B
2000,2TM,0.1,"$1,750,000",C
2000,SEA,-0.1,"$215,000",3B
2000,MIL,-0.1,"$3,333,333",3B
2000,SFG,0.4,"$1,325,000",P
2000,NYY,-0.2,"$1,950,000",P
2000,OAK,0.7,"$211,000",C
2000,TBD,0.0,"$6,000,000",P
2000,LAD,-0.1,"$2,000,000",P
2000,HOU,6.3,"$330,000",CF
2000,Tm,WAR,Salary,
2000,DET,5.3,"$4,425,000",LF
2000,DET,,,P
2000,2TM,1.0,"$1,500,000",LF
2000,2TM,0.0,"$5,600,000",P
2000,OAK,0.0,,C
2000,ANA,,,P
2000,SDP,-0.4,"$6,100,000",P
2000,MIN,1.0,"$500,000",2B
2000,SEA,,,P
2000,SDP,0.0,"$6,600,000",P
2000,KCR,-0.1,"$225,000",2B
2000,2TM,2.3,"$1,450,000",CF
2000,3TM,0.0,"$1,916,667",P
2000,HOU,-0.3,"$1,025,000",P
2000,ANA,0.0,"$400,000",P
2000,PHI,0.0,,P
2000,COL,0.0,,P
2000,MIL,0.2,"$835,000",1B
2000,STL,-0.8,"$650,000",RF
2000,CHW,0.0,"$325,000",P
2000,ATL,0.0,,C
2000,2TM,-1.1,"$400,000",LF
2000,OAK,-0.1,"$250,000",P
2000,TBD,0.1,,3B
2000,LAD,2.5,"$6,125,000",C
2000,Tm,WAR,Salary,
2000,2TM,-0.1,,1B
2000,2TM,0.4,"$300,000",CF
2000,MIN,0.2,"$225,000",CF
2000,2TM,-0.4,"$500,000",LF
2000,CHC,-0.8,"$300,000",3B
2000,PIT,0.1,,RF
2000,SEA,-0.1,"$275,000",RF
2000,MON,0.0,"$4,125,000",P
2000,OAK,0.0,"$825,000",P
2000,SDP,2.7,"$250,000",SS
2000,PHI,0.0,,P
2000,OAK,-0.1,"$2,750,000",
2000,STL,0.0,,P
2000,COL,-0.3,,P
2000,SEA,0.5,"$1,500,000",LF
2000,DET,0.2,"$3,125,000",1B
2000,MIL,4.5,"$282,000",LF
2000,MIN,0.0,"$285,000",C
2000,NYY,4.6,"$10,000,000",SS
2000,COL,0.1,"$245,000",P
2000,KCR,-1.0,"$550,000",C
2000,2TM,5.1,"$4,600,000",C
2000,BAL,-0.1,"$300,000",P
2000,TEX,,,P
2000,ANA,0.3,,1B
2000,Tm,WAR,Salary,
2000,NYY,0.0,"$350,000",LF
2000,NYM,-0.2,,1B
