Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Owen MacNeil,P,University of Charleston,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,4.1,0,0.0,0,5
Logan MacNiel,RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Madjik Mackenzie,1B/RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Ayden Makarus,C,LSU Eunice,JUCO: Division 2,34,100,35,32,9,0,11,44,3,0.32,0.418,0.74,1.158,0,0.0,0,0.0,0,0
Ryan Marples,RHP,Lindsey Wilson College,NAIA,0,0,0,0,0,0,0,0,0,,,,,8,8.0,0,19.13,0,4
Zach Marriott,IF,Hendrix College,NCAA: Division 3,23,74,19,22,4,0,2,12,4,0.297,0.419,0.432,0.851,0,,0,,0,0
Aaron Marsh,INF,Cochise,JUCO: Division 1,40,112,30,39,4,3,0,30,9,0.348,0.507,0.438,0.945,0,0.0,0,0.0,0,0
Eric Martin,OF/RHP,Olney Central,JUCO: Division 1,12,40,18,15,3,0,4,14,0,0.375,0.528,0.75,1.278,0,0.0,0,0.0,0,0
EJ Martinez,C,Genesee,JUCO: Division 3,4,9,4,3,1,0,0,2,0,0.333,0.4,0.444,0.844,0,0.0,0,0.0,0,0
Mathieu Massicotte,RHP,Sussex County,JUCO: Division 2,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,21.2,2,4.57,0,26
Maddux Mateychuk,RHP,Mineral Area,JUCO: Division 1,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3.1,1,10.8,0,2
CJ Maury,2B/SS,Wayne State University,NCAA: Division 2,15,30,8,9,3,0,0,2,2,0.3,0.333,0.4,0.733,0,,0,,0,0
Olivier Mayrand,C,Nova Southeastern University,NCAA: Division 2,11,35,5,7,0,0,0,5,1,0.2,0.263,0.2,0.463,0,,0,,0,0
David McCabe,INF,"University of North Carolina, Charlotte",NCAA: Division 1,28,97,21,31,8,0,10,26,1,0.32,0.396,0.711,1.107,0,,0,,0,0
Spencer McDonell,OF,John Carroll University,NCAA: Division 3,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Micah McDowell,OF,Oregon State University,NCAA: Division 1,20,62,11,12,2,0,0,1,3,0.194,0.333,0.226,0.559,0,,0,,0,0
Matt McEachern,OF,Lourdes University,NAIA,9,0,3,5,0,0,0,3,0,0.25,0.318,0.25,0.568,0,,0,,0,0
