title,division,conference,state,location,link,roster_link
"Miami University, Ohio",D1,Mid-American,OH,"Oxford, OH",https://miamiredhawks.com/index.aspx?path=baseball,https://miamiredhawks.com/sports/baseball/roster
Michigan State University,D1,Big Ten,MI,"East Lansing, MI",https://msuspartans.com/index.aspx?path=baseball,https://msuspartans.com/sports/baseball/roster
Middle Tennessee State University,D1,Conference USA,TN,"Murfreesboro, TN",https://goblueraiders.com/index.aspx?path=baseball,https://goblueraiders.com/sports/baseball/roster
Mississippi State University,D1,SEC,MS,"Starkville, MS",https://hailstate.com/index.aspx?path=baseball,https://hailstate.com/sports/baseball/roster
Mississippi Valley State University,D1,Southwestern,MS,"Bena, MS",https://mvsusports.com/index.aspx?path=baseball,https://mvsusports.com/roster.aspx?path=baseball
Missouri State University,D1,Missouri Valley,MO,"Springfield, MO",https://missouristatebears.com/index.aspx?path=baseball,https://missouristatebears.com/sports/baseball/roster
Monmouth University,D1,Metro Atlantic,NJ,"West Long Branch, NJ",https://monmouthhawks.com/index.aspx?path=baseball,https://monmouthhawks.com/sports/baseball/roster
Morehead State University,D1,Ohio Valley,KY,"Morehead, KY",https://msueagles.com/index.aspx?path=baseball,https://msueagles.com/sports/baseball/roster
Mount St. Mary's University,D1,Northeast,MD,"Emmitsburg, MD",http://www.mountathletics.com/sports/bsb/index,https://mountathletics.com/sports/baseball/roster
Murray State University,D1,Ohio Valley,KY,"Murray, KY",https://goracers.com/index.aspx?path=baseball,https://goracers.com/sports/baseball/roster
New Jersey Institute of Technology,D1,America East,NJ,"Newark, NJ",https://www.njithighlanders.com/index.aspx?path=baseball,https://www.njithighlanders.com/sports/baseball/roster
New Mexico State University,D1,Western Athletic,NM,"Las Cruces, NM",https://nmstatesports.com/index.aspx?path=baseball,https://nmstatesports.com/sports/baseball/roster
Niagara University,D1,Metro Atlantic,NY,"Niagara, NY",https://purpleeagles.com/index.aspx?path=baseball,https://purpleeagles.com/sports/baseball/roster
Nicholls State University,D1,Southland,LA,"Thibodaux, LA",https://geauxcolonels.com/index.aspx?path=baseball,https://geauxcolonels.com/sports/baseball/roster
Norfolk State University,D1,Mid-Eastern,VA,"Norfolk, VA",https://nsuspartans.com/index.aspx?path=baseball,https://nsuspartans.com/sports/baseball/roster
North Carolina A&T State University,D1,Mid-Eastern,NC,"Greensboro, NC",http://www.ncataggies.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=24500&SPID=74515&SPSID=593451,http://www.ncataggies.com/sports/baseball/roster
North Carolina Central University,D1,Mid-Eastern,NC,"Durham, NC",https://nccueaglepride.com/index.aspx?path=baseball,https://nccueaglepride.com/sports/baseball/roster
North Carolina State University,D1,ACC,NC,"Raliegh, NC",https://gopack.com/index.aspx?path=baseball,https://gopack.com/sports/baseball/roster
North Dakota State University,D1,Summit League,ND,"Fargo, ND",https://gobison.com/index.aspx?path=baseball,https://gobison.com/sports/baseball/roster
Northeastern University,D1,Colonial,MA,"Brookline, MA",https://www2.nuhuskies.com/index.aspx?path=baseball,https://nuhuskies.com/sports/baseball/roster
Northern Illinois University,D1,Mid-American,IL,"DeKalb, IL",https://niuhuskies.com/index.aspx?path=baseball,https://niuhuskies.com/sports/baseball/roster
Northern Kentucky University,D1,Horizon,KY,"Highland Heights, KY",https://nkunorse.com/index.aspx?path=baseball,https://nkunorse.com/sports/baseball/roster
Northwestern State University,D1,Southland,LA,"Natchitoches, LA",https://nsudemons.com/index.aspx?path=baseball,https://nsudemons.com/sports/baseball/roster
Northwestern University,D1,Big Ten,IL,"Evanston, IL",https://nusports.com/index.aspx?path=baseball,https://nusports.com/sports/baseball/roster
Oakland University,D1,Horizon,MI,"Rochester, MI",https://goldengrizzlies.com/index.aspx?path=baseball,https://goldengrizzlies.com/sports/baseball/roster
Ohio University,D1,Mid-American,OH,"Athens, OH",http://www.ohiobobcats.com/sports/bsb/index,http://www.ohiobobcats.com/sports/bsb/2020-21/roster
Oklahoma State University,D1,Big 12,OK,"Stillwater, OK",https://okstate.com/index.aspx?path=baseball,https://okstate.com/sports/baseball/roster
Old Dominion University,D1,Conference USA,VA,"Norfolk, VA",http://www.odusports.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=31100&SPID=127325&SPSID=750485,http://www.odusports.com/sports/baseball/roster
Oral Roberts University,D1,Summit League,OK,"Tulsa, OK",http://www.oruathletics.com/sports/bsb/index,https://oruathletics.com/sports/baseball/roster
Oregon State University,D1,Pac-12,OR,"Corvallis, OR",https://osubeavers.com/index.aspx?path=baseball,https://osubeavers.com/sports/baseball/roster
Penn State University,D1,Big Ten,PA,"University Park, PA",https://gopsusports.com/index.aspx?path=baseball,https://gopsusports.com/sports/baseball/roster
Pepperdine University,D1,West Coast,CA,"Malibu, CA",https://pepperdinewaves.com/index.aspx?path=baseball,https://pepperdinewaves.com/sports/baseball/roster
Prairie View A&M University,D1,Southwestern,TX,"Prairie View, TX",https://pvpanthers.com/index.aspx?path=baseball,https://pvpanthers.com/sports/baseball/roster
Presbyterian College,D1,Big South,SC,"Clinton, SC",http://www.gobluehose.com/SportSelect.dbml?DB_OEM_ID=18100&SPID=10744&SPSID=89795&DB_OEM_ID=18100,http://www.gobluehose.com/sports/baseball/roster
Princeton University,D1,Ivy League,NJ,"Princeton, NJ",https://goprincetontigers.com/index.aspx?path=baseball,https://goprincetontigers.com/sports/baseball/roster
Purdue University,D1,Big Ten,IN,"Lafayette, IN",https://purduesports.com/index.aspx?path=baseball,https://purduesports.com/sports/baseball/roster
Purdue University Fort Wayne,D1,Horizon,IN,"Fort Wayne, IN",https://gomastodons.com/index.aspx?path=baseball,https://gomastodons.com/sports/baseball/roster
Quinnipiac University,D1,Metro Atlantic,CT,"Hamden, CT",https://gobobcats.com/index.aspx?path=baseball,https://gobobcats.com/sports/baseball/roster
Radford University,D1,Big South,VA,"Radford, VA",https://radfordathletics.com/index.aspx?path=baseball,https://radfordathletics.com/sports/baseball/roster
Rice University,D1,Conference USA,TX,"Houston, TX",https://riceowls.com/index.aspx?path=baseball,https://riceowls.com/sports/baseball/roster
Rider University,D1,Metro Atlantic,NJ,"Township, NJ",https://gobroncs.com/index.aspx?path=baseball,https://gobroncs.com/sports/baseball/roster
Rutgers University,D1,Big Ten,NJ,"New Brunswick, NJ",https://scarletknights.com/index.aspx?path=baseball,https://scarletknights.com/sports/baseball/roster
Sacred Heart University,D1,Northeast,CT,"Fairfield, CT",https://www.shubigred.com/sports/m-basebl/index,https://www.sacredheartpioneers.com/sports/m-basebl/2020-21/roster
Saint Joseph's University,D1,Atlantic 10,PA,"Philadelphia, PA",http://www.sjuhawks.com/SportSelect.dbml?DB_OEM_ID=31200&SPID=127357&KEY=,http://www.sjuhawks.com/sports/baseball/roster
